treino,exercicio,nota_personalizada,series,reps,peso_kg,intervalo_segundos
M_costa_biceps,PULL_UP_WIDE_GRIP_LAT_PULLDOWN,PULLEY FRENTE,4,15,51,40
M_costa_biceps,ROW_INDOOR_ROW,REMADA ARTICULADA PRONADA,3,12,30,60
M_costa_biceps,ROW_SEATED_CABLE_ROW,REMADA BAIXA ABERTA,4,10,51,40
M_costa_biceps,PULL_UP_STRAIGHT_ARM_PULLDOWN,PULL DOWN POLIA,3,15,38,60
M_costa_biceps,HYPEREXTENSION_SWISS_BALL_HYPEREXTENSION,HIPEREXTENSAO LOMBAR,3,15,0,60
M_costa_biceps,LATERAL_RAISE_UNDERHAND_GRIP_REAR_LATERAL_RAISE,PECK DECK INVERSO,4,12,38,60
M_costa_biceps,CURL_DUMBBELL_BICEPS_CURL,ROSCA SCOTT ARTICULADA,4,15,38,40
M_costa_biceps,CURL_CABLE_BICEPS_CURL,ROSCA DIRETA POLIA,4,15,0,40
M_costa_biceps,SIT_UP_WEIGHTED_SIT_UP,ABDOMINAL MAQUINA,3,20,51,40
M_ombros,SHOULDER_PRESS,DESENVOLVIMENTO MAQUINA,4,15,24,40
M_ombros,LATERAL_RAISE_LATERAL_RAISE,ELEVACAO LATERAL MAQUINA E HALTERES,4,15,31,40
M_ombros,LATERAL_RAISE_UNDERHAND_GRIP_REAR_LATERAL_RAISE,PECK DECK INVERSO,4,20,24,40
M_ombros,LATERAL_RAISE_FRONT_RAISE,ELEVACAO FRONTAL POLIA,3,15,18,40
M_ombros,LATERAL_RAISE_LATERAL_RAISE,ELEVACAO LATERAL POLIA,3,12,11,60
M_ombros,SUSPENSION_FACE_PULL,FACE PULL,3,15,0,40
M_ombros,SIT_UP,PRANCHA ISO E ABDOMINAL MAQUINA,3,20,0,40
M_peito_triceps,BENCH_PRESS_INCLINE_SMITH_MACHINE_BENCH_PRESS,SUPINO INCLINADO SENTADO,4,15,15,40
M_peito_triceps,SLED_CHEST_PRESS_WHEELCHAIR,SUPINO RETO VERTICAL,4,15,38,45
M_peito_triceps,FLYE_HUG_A_TREE,PECK DECK,3,15,45,60
M_peito_triceps,BENCH_PRESS_PARTIAL_LOCKOUT,SUPINO DECLINADO SENTADO,4,15,15,60
M_peito_triceps,TRICEPS_EXTENSION_ROPE_PRESSDOWN,TRICEPS PULLEY POLIA,4,10,51,40
M_peito_triceps,TRICEPS_EXTENSION_WEIGHTED_INCLINE_DIP,TRICEPS MERGULHO,3,12,0,40
M_peito_triceps,TRICEPS_EXTENSION_ROPE_PRESSDOWN,TRICEPS CORDA POLIA,3,12,38,40
M_peito_triceps,SIT_UP,PRANCHA ISO,3,1,0,60
M_posterior,SQUAT_SUMO_SQUAT_SLIDE_IN,AGACHAMENTO SUMO,3,12,30,60
M_posterior,HIP_RAISE_WEIGHTED_SINGLE_LEG_HIP_RAISE,ELEVACAO PELVICA,3,12,20,60
M_posterior,LUNGE_DUMBBELL_OVERHEAD_BULGARIAN_SPLIT_SQUAT,AGACHAMENTO BULGARO,3,15,0,60
M_posterior,LEG_CURL_SLIDING_LEG_CURL,FLEXORA EM PE,3,12,12.5,60
M_posterior,LEG_CURL_SLIDING_LEG_CURL,CADEIRA FLEXORA,3,12,51,60
M_posterior,LEG_CURL_SLIDING_LEG_CURL,MESA FLEXORA,3,12,38,60
M_posterior,CRUNCH_LEG_EXTENSIONS,CADEIRA EXTENSORA,3,12,30,60
M_posterior,CALF_RAISE_STANDING_CALF_RAISE,GEMEOS,4,15,50,60
M_quadriceps,CRUNCH_LEG_EXTENSIONS,CADEIRA EXTENSORA,3,15,38,60
M_quadriceps,SQUAT,AGACHAMENTO SMITH,4,10,30,60
M_quadriceps,SQUAT_LEG_PRESS,LEG PRESS 45,4,15,50,60
M_quadriceps,SQUAT,AGACHAMENTO PENDULO,3,12,0,60
M_quadriceps,CRUNCH_LEG_EXTENSIONS,CADEIRA EXTENSORA,4,12,51,60
M_quadriceps,LEG_CURL_SLIDING_LEG_CURL,CADEIRA FLEXORA,4,15,45,60
M_quadriceps,CALF_RAISE_STANDING_CALF_RAISE,GEMEOS SENTADO (PANTURRILHA),4,15,40,60
M_quadriceps,CRUNCH_WEIGHTED_FLUTTER_KICKS,ABDOMINAL PARALELAS,3,15,0,60
